6,6.51E-06
6,1.44E-05
12,3.22E-06
6,1.15E-05
6,1.34E-05
12,1.94E-06
6,8.80E-06
6,1.35E-05
12,2.40E-06
6,6.78E-06
6,8.88E-06
12,2.86E-06
6,4.78E-06
6,8.19E-06
12,1.93E-06
6,3.00E-06
6,7.88E-06
12,2.21E-06
6,3.57E-06
6,6.15E-06
12,1.04E-06
6,3.67E-06
6,4.61E-06
12,1.13E-06
6,1.90E-06
6,3.68E-06
12,8.78E-07
6,9.71E-07
6,2.57E-06
12,4.14E-07
6,7.95E-07
6,1.21E-06
12,7.53E-07
6,9.74E-07
6,1.56E-06
12,4.78E-07
6,9.71E-07
6,2.12E-06
12,5.42E-07
6,7.01E-07
6,1.59E-06
12,2.82E-07
6,7.16E-07
6,1.00E-06
12,3.16E-07
6,3.24E-07
6,6.55E-07
12,2.17E-07
6,2.87E-07
6,9.10E-07
12,1.11E-07
6,1.93E-07
6,3.79E-07
12,2.10E-07
6,1.49E-07
6,3.70E-07
12,1.75E-07
