srcid,xs,ys,xinit,yinit,apprate,start,incdepth
F096,34224,48732,719.7,719.7,165,2015-10-17T14:00:00,46.5
F097,45118,21066,768.7,768.7,220,2015-10-24T14:00:00,46.5
F098,30369,52318,685.2,685.2,198,2015-11-11T14:00:00,46.5
F099,28385,13368,586.5,586.5,198,2015-11-12T14:00:00,46.5
F100,21289,66525,528.4,528.4,176,2016-03-01T15:00:00,46.5
F101,9409,62882,516.8,516.8,165,2016-03-16T15:00:00,46.5
F102,22363,42682,237.1,237.1,153,2015-09-07T15:00:00,46.5
F103,23433,14158,496.8,496.8,198,2015-09-09T15:00:00,46.5
F104,25738,15312,667.2,667.2,165,2015-09-18T15:00:00,46.5
F105,31873,43791,639.3,639.3,303,2015-09-26T15:00:00,46.5
F106,7358,14143,786.9,786.9,220,2015-10-27T15:00:00,46.5
F107,15170,9219,685.2,685.2,187,2015-10-28T15:00:00,46.5
F108,12903,50958,504.9,504.9,165,2015-11-10T15:00:00,46.5
F109,44022,59163,354.2,354.2,199,2016-03-04T16:00:00,46.5
F110,43728,49905,779.1,779.1,133,2016-03-07T16:00:00,46.5
F111,43754,51107,711.2,711.2,135,2016-03-07T16:00:00,46.5
F112,21106,34297,719.7,719.7,165,2015-08-28T16:00:00,46.5
F113,20062,45161,705.5,705.5,221,2015-10-15T16:00:00,46.5
F114,23383,25939,744.6,744.6,223,2015-10-16T16:00:00,46.5
F115,21107,33120,728.4,728.4,165,2015-10-20T16:00:00,46.5
F116,17522,45114,763.9,763.9,165,2015-10-23T16:00:00,46.5
F117,29347,28360,730.9,730.9,218,2015-10-27T16:00:00,46.5
F118,28177,29548,722.5,722.5,207,2015-10-31T16:00:00,46.5
F119,12377,60532,516.8,516.8,219,2015-11-02T16:00:00,46.5
F120,10294,30689,719.7,719.7,165,2015-11-02T16:00:00,46.5
F121,66033,15679,500.9,500.9,165,2015-11-04T16:00:00,46.5
F122,19711,36255,183.3,183.3,165,2015-11-09T16:00:00,46.5
F123,64052,15054,524.6,524.6,165,2015-11-12T16:00:00,46.5
F124,5844,62857,725.3,725.3,173,2016-03-07T17:00:00,46.5
F125,19227,53399,519.9,519.9,165,2016-03-21T17:00:00,46.5
F126,9054,41590,747.3,747.3,167,2016-03-24T17:00:00,46.5
F127,22287,40219,737.5,737.5,187,2015-10-17T17:00:00,46.5
F128,43651,40249,737.5,737.5,165,2015-10-27T17:00:00,46.5
F129,45786,6780,616.8,616.8,154,2015-10-31T17:00:00,46.5
F130,42476,39070,566.5,566.5,165,2015-11-06T17:00:00,46.5
F131,10279,29453,766,766,221,2015-11-10T17:00:00,46.5
F132,8273,65234,500.9,500.9,220,2015-11-19T17:00:00,46.5
F133,13530,61693,520.7,520.7,145,2015-09-22T18:00:00,46.5
F134,16521,63495,576.1,576.1,165,2015-10-28T18:00:00,46.5
F135,10332,28779,532.2,532.2,176,2015-11-01T18:00:00,46.5
F136,14069,43836,741.9,741.9,220,2015-10-13T19:00:00,46.5
F137,11185,56985,522.3,522.3,220,2015-11-02T20:00:00,46.5
F138,36557,40314,728.1,728.1,165,2016-03-17T23:00:00,46.5
